雷雨,曹禺,人民文学出版社,9787020018567
阿勒泰的角落,李娟,万卷出版公司,9787547010105
认识电影,[美]路易斯·贾内梯,世界图书出版公司,9787506287081
此生未完成,于娟,湖南科技出版社,9787535766779
失明症漫记,[葡]若泽·萨拉马戈,南海出版公司,9787544264112
黑客与画家,保罗·格雷厄姆,人民邮电出版社,9787115249494
上学记,何兆武,生活·读书·新知三联书店,9787108025104
一桩事先张扬的凶杀案,[哥伦比亚]加西亚·马尔克斯,南海出版公司,9787544266123
挪威的森林,[日]村上春树,上海译文出版社,9787532742929
天朝的崩溃,茅海建,生活·读书·新知三联书店,9787108022943
张爱玲文集,张爱玲,安徽文艺出版社,9787539605951
巨流河,齐邦媛,生活·读书·新知三联书店,9787108034731
金锁记,张爱玲,哈尔滨出版社,9788781074519
草房子,曹文轩,江苏少年儿童出版社,9787534618727
老人与海,[美国]欧内斯特·海明威,上海译文出版社,9787532723447
香水,[德]帕·聚斯金德,上海译文出版社,9787532736201
影响力,[美]罗伯特·西奥迪尼,中国人民大学出版社,9787300072487
论语,,中华书局,9787101054187
厌女,(日)上野千鹤子,上海三联书店,9787542645715
人间草木,汪曾祺,江苏文艺出版社,9787539921969
从一到无穷大,[美国]乔治·伽莫夫,科学出版社,9787030107596
世界尽头与冷酷仙境,[日]村上春树,上海译文出版社,9787532730001
夏洛的网,[美国]E·B·怀特,上海译文出版社,9787532733415
人类的群星闪耀时,[奥地利]斯蒂芬·茨威格,广西师范大学出版社,9787563349128
美丽新世界,[英]赫胥黎,上海译文出版社,9787532774685
中国哲学简史,冯友兰,新世界出版社,9787801872166
ZOO,[日本]乙一,当代世界出版社,9787509002780
我不知道该说什么，关于死亡还是爱情,[白俄]S·A·阿列克谢耶维奇,花城出版社,9787536071377
佐贺的超级阿嬷,[日]岛田洋七,南海出版公司,9787544234726
如彗星划过夜空,林达,生活·读书·新知三联书店,9787108023803
额尔古纳河右岸,迟子建,北京十月文艺出版社,9787530209936
多情剑客无情剑(上、中、下),古龙,海天出版社,9787806152614
金阁寺,[日]三岛由纪夫,上海译文出版社,9787532744565
海风中失落的血色馈赠,[加拿大]阿利斯泰尔·麦克劳德,上海文艺出版社,9787532156825
哈姆莱特,[英]威廉·莎士比亚,人民文学出版社,9787020035946
长日将尽,[英]石黑一雄,上海译文出版社,9787532777532
骆驼祥子,老舍,人民文学出版社,9787020028115
繁花,金宇澄,上海文艺出版社,9787532148004
你一生的故事,[美]特德·姜,译林出版社,9787544752473
火星救援,[美]安迪·威尔,译林出版社,9787544757225
社会契约论,卢梭,商务印书馆,9787100037259
海底两万里,[法]儒勒·凡尔纳,译林出版社,9787806574317
稻草人手记,三毛,北京十月文艺出版社,9787530209691
步履不停,[日]是枝裕和,北京联合出版公司,9787550297685
荒原狼,[德]赫尔曼·黑塞,上海译文出版社,9787532744800
呼啸山庄,艾米莉·勃朗特,人民文学出版社,9787020027606
心是孤独的猎手,[美]卡森·麦卡勒斯,上海三联书店,9787542621344
二手时间,[白俄]S.A.阿列克谢耶维奇,中信出版集团,9787508658346
狂热分子,[美国]埃里克·霍弗,广西师范大学出版社,9787563374625
了不起的盖茨比,[美国]弗·司各特·菲茨杰拉德,南海出版公司,9787544258661
克莱因壶,[日]冈岛二人,化学工业出版社,9787122346032
牡丹亭,汤显祖,人民文学出版社,9787020015092
别闹了，费曼先生,[美]理查德·费曼,生活·读书·新知三联书店,9787108011114
通往奴役之路,弗里德利希・冯・哈耶克,中国社会科学出版社,9787500421368
尘埃落定,阿来,人民文学出版社,9787020033645
小姨多鹤,[美国]严歌苓,作家出版社,9787506342490
告白,[日]凑佳苗,哈尔滨出版社,9787548401087
欢乐英雄,古龙,珠海出版社,9787806070628
西方哲学史（上卷）,伯特兰·罗素,商务印书馆,9787100004824
被讨厌的勇气,岸见一郎,机械工业出版社,9787111495482
娱乐至死,[美国]尼尔·波兹曼,广西师范大学出版社,9787563344970
红玫瑰与白玫瑰,张爱玲,花城出版社,9787536021440
世界的凛冬,[英]肯·福莱特,江苏凤凰文艺出版社,9787539999074
长夜难明,紫金陈,云南人民出版社,9787222143975
卓有成效的管理者,彼得·德鲁克,机械工业出版社,9787111165170
消失的13级台阶,[日]高野和明,上海文艺出版社,9787532175512
心理学与生活,[美]理查德·格里格,人民邮电出版社,9787115111302
陆小凤传奇,古龙,珠海出版社,9787806070697
当呼吸化为空气,[美]保罗·卡拉尼什,猫头鹰文化·浙江文艺出版社,9787533946562
不存在的骑士,[意]伊塔洛·卡尔维诺,译林出版社,9787544722797
一个人的村庄,刘亮程,春风文艺出版社,9787531329329
带一本书去巴黎,林达,生活·读书·新知三联书店,9787108017079
泰戈尔诗集,[印度]拉宾德拉纳特·泰戈尔,北京出版社,9787200053975
那些回不去的年少时光·终场,桐华,江苏文艺出版社,9787539936680
